Organism,Target Accession Numbers,Exclusion Accession Numbers,Inclusion Sequences,Exclusion Sequences
Human,NM_001660.4,,,
Human,NM_000805.5,,,
Human,NM_181604.2,,,
Human,NM_181602.2,,,
Mouse,NR_002844.2,,,
Yeast,NM_001179952.1,,,
Human,ENST00000818900.1,,,
Mouse,ENSMUST00000181020.10,,,
Yeast,NM_001181217.1,,,
Yeast,YFL014W_mRNA,,,
Zebrafish,ENSDART00000056457.5,,,
Zebrafish,XM_021476774.1,,,
Mouse,ENSMUST00000001538.9,,,
Mouse,NM_011041.3,,,
Human,ENST00000260386.7,,,
Human,"NM_001357731.1,NM_001375593.1",,,
Human,NM_001375593.1,,,
Human,NM_013357.2,,,
Human,NM_001099773.2,,,
Human,NM_019065.3,,,
Human,ENST00000305202.9,,,
Mouse,NR_028380.1,,,
Mouse,NR_028381.1,,,
Mouse,,,,
Mouse,NR_002844.2,,,
Mouse,NR_001570.2,,,
Mouse,NR_001463.3,,,
Mouse,NR_025508.3,,,
Mouse,,,,
Mouse,NM_173740.3,,,
Human,NR_038835.1,,,
Human,NR_147077.1,,,
Human,NR_120385.1,,,
Human,NR_046541.1,,,
Human,NR_038915.1,,,
Human,NR_038916.1,,,
Human,NR_160935.1,,,
Human,NR_132102.1,,,
Human,NR_047498.1,,,
Human,NM_001318485.2,,,
Human,NM_002046.7,,,
Human,NM_001553.3,,,
Human,NM_015710.5,,,
Human,NM_014220.3,,,
Human,NM_001660.4,,,
Human,NM_004583.4,,,
Human,NM_004905.3,,,
Human,NM_003405.4,,,
Human,NM_201434.3,,,
Human,NM_001101.5,,,
Human,NM_001252039.2,,,
Human,NM_003380.5,,,
Human,NR_132370.1,,,
Human,NR_132382.1,,,
Human,NR_132369.1,,,
Human,NR_109810.1,,,
Human,NR_046650.1,,,
Human,NR_109809.1,,,
Human,NR_126507.1,,,
Human,NR_171018.1,,,
Human,NR_108060.1,,,
Human,NR_171020.1,,,
Human,NR_034081.1,,,
Human,NR_171019.1,,,
Human,XR_001752888.2,,,
Human,NR_015434.1,,,
Human,NR_125960.1,,,
Human,NR_108061.1,,,
Human,NM_001199893.2,,,
Human,NM_005159.5,,,
Human,NM_001406485.1,,,
Human,NM_001406482.1,,,
Human,NM_001406484.1,,,
Human,NM_001100.4,,,
Human,NM_001615.4,,,
Human,NM_001024675.2,,,
Human,NM_177989.4,,,
Human,NM_001406483.1,,,
Human,NR_037688.3,,,
Human,NM_004301.5,,,
Human,NM_178042.4,,,
Human,NM_001614.5,,,
Human,NM_001199954.3,,,
Human,NM_024855.4,,,
Human,NM_022899.5,,,
Human,NM_001410774.1,,,
Human,NM_001145442.1,,,
Rat,NR_003722.1,,,
Rat,ENSRNOT00000114448.2,,,
Zebrafish,NM_001115114.1,,,
Zebrafish,ENSDART00000063800.7,,,
Worm,NM_076133.9,,,
Worm,F53H8.4.1,,,
