gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
YDL246C	YDL246C_mRNA	YDL246C	NP_010035.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL246C	YDL246C_mRNA	YDL246C	NM_001180306.1	RefSeq_dna	DEPENDENT	-	-	-
YDL243C	YDL243C_mRNA	YDL243C	NP_010038.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL243C	YDL243C_mRNA	YDL243C	NM_001180303.1	RefSeq_dna	DEPENDENT	-	-	-
YDR387C	YDR387C_mRNA	YDR387C	NP_010675.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR387C	YDR387C_mRNA	YDR387C	NM_001180695.3	RefSeq_dna	DEPENDENT	-	-	-
YDR438W	YDR438W_mRNA	YDR438W	NP_010726.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR438W	YDR438W_mRNA	YDR438W	NM_001180746.3	RefSeq_dna	DEPENDENT	-	-	-
YDR523C	YDR523C_mRNA	YDR523C	NP_010811.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR523C	YDR523C_mRNA	YDR523C	NM_001180831.1	RefSeq_dna	DEPENDENT	-	-	-
YDR542W	YDR542W_mRNA	YDR542W	NP_010831.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR542W	YDR542W_mRNA	YDR542W	NM_001180850.3	RefSeq_dna	DEPENDENT	-	-	-
YDR492W	YDR492W_mRNA	YDR492W	NP_010780.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR492W	YDR492W_mRNA	YDR492W	NM_001180800.1	RefSeq_dna	DEPENDENT	-	-	-
YDR018C	YDR018C_mRNA	YDR018C	NP_010301.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR018C	YDR018C_mRNA	YDR018C	NM_001180326.1	RefSeq_dna	DEPENDENT	-	-	-
YDL189W	YDL189W_mRNA	YDL189W	NP_010092.2	RefSeq_peptide	DEPENDENT	-	-	-
YDL189W	YDL189W_mRNA	YDL189W	NM_001180249.1	RefSeq_dna	DEPENDENT	-	-	-
YDR508C	YDR508C_mRNA	YDR508C	NP_010796.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR508C	YDR508C_mRNA	YDR508C	NM_001180816.1	RefSeq_dna	DEPENDENT	-	-	-
YDR462W	YDR462W_mRNA	YDR462W	NP_010750.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR462W	YDR462W_mRNA	YDR462W	NM_001180770.1	RefSeq_dna	DEPENDENT	-	-	-
YDR175C	YDR175C_mRNA	YDR175C	NP_010460.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR175C	YDR175C_mRNA	YDR175C	NM_001180482.1	RefSeq_dna	DEPENDENT	-	-	-
YDR186C	YDR186C_mRNA	YDR186C	NP_010472.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR186C	YDR186C_mRNA	YDR186C	NM_001180494.3	RefSeq_dna	DEPENDENT	-	-	-
YDR150W	YDR150W_mRNA	YDR150W	NP_010434.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR150W	YDR150W_mRNA	YDR150W	NM_001180457.1	RefSeq_dna	DEPENDENT	-	-	-
YDR243C	YDR243C_mRNA	YDR243C	NP_010529.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR243C	YDR243C_mRNA	YDR243C	NM_001180551.3	RefSeq_dna	DEPENDENT	-	-	-
YDL182W	YDL182W_mRNA	YDL182W	NP_010099.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL182W	YDL182W_mRNA	YDL182W	NM_001180242.1	RefSeq_dna	DEPENDENT	-	-	-
YDR362C	YDR362C_mRNA	YDR362C	NP_010649.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR362C	YDR362C_mRNA	YDR362C	NM_001180670.1	RefSeq_dna	DEPENDENT	-	-	-
YDR232W	YDR232W_mRNA	YDR232W	NP_010518.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR232W	YDR232W_mRNA	YDR232W	NM_001180540.1	RefSeq_dna	DEPENDENT	-	-	-
YDR158W	YDR158W_mRNA	YDR158W	NP_010442.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR158W	YDR158W_mRNA	YDR158W	NM_001180465.3	RefSeq_dna	DEPENDENT	-	-	-
YDR439W	YDR439W_mRNA	YDR439W	NP_010727.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR439W	YDR439W_mRNA	YDR439W	NM_001180747.1	RefSeq_dna	DEPENDENT	-	-	-
YDL206W	YDL206W_mRNA	YDL206W	NP_010075.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL206W	YDL206W_mRNA	YDL206W	NM_001180266.1	RefSeq_dna	DEPENDENT	-	-	-
YDR125C	YDR125C_mRNA	YDR125C	NP_010410.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR125C	YDR125C_mRNA	YDR125C	NM_001180433.3	RefSeq_dna	DEPENDENT	-	-	-
YDR338C	YDR338C_mRNA	YDR338C	NP_010625.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR338C	YDR338C_mRNA	YDR338C	NM_001180646.1	RefSeq_dna	DEPENDENT	-	-	-
YDR533C	YDR533C_mRNA	YDR533C	NP_010822.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR533C	YDR533C_mRNA	YDR533C	NM_001180841.1	RefSeq_dna	DEPENDENT	-	-	-
YDR272W	YDR272W_mRNA	YDR272W	NP_010558.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR272W	YDR272W_mRNA	YDR272W	NM_001180580.3	RefSeq_dna	DEPENDENT	-	-	-
YDR197W	YDR197W_mRNA	YDR197W	NP_010483.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR197W	YDR197W_mRNA	YDR197W	NM_001180505.1	RefSeq_dna	DEPENDENT	-	-	-
YDR512C	YDR512C_mRNA	YDR512C	NP_010800.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR512C	YDR512C_mRNA	YDR512C	NM_001180820.3	RefSeq_dna	DEPENDENT	-	-	-
YDR489W	YDR489W_mRNA	YDR489W	NP_010777.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR489W	YDR489W_mRNA	YDR489W	NM_001180797.3	RefSeq_dna	DEPENDENT	-	-	-
YDR299W	YDR299W_mRNA	YDR299W	NP_010585.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR299W	YDR299W_mRNA	YDR299W	NM_001180607.3	RefSeq_dna	DEPENDENT	-	-	-
YDL015C	YDL015C_mRNA	YDL015C	NP_010269.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL015C	YDL015C_mRNA	YDL015C	NM_001180074.1	RefSeq_dna	DEPENDENT	-	-	-
YDR304C	YDR304C_mRNA	YDR304C	NP_010590.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR304C	YDR304C_mRNA	YDR304C	NM_001180612.3	RefSeq_dna	DEPENDENT	-	-	-
YDL181W	YDL181W_mRNA	YDL181W	NP_010100.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL181W	YDL181W_mRNA	YDL181W	NM_001180241.1	RefSeq_dna	DEPENDENT	-	-	-
YDR367W	YDR367W_mRNA	YDR367W	NP_010655.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR367W	YDR367W_mRNA	YDR367W	NM_001180675.1	RefSeq_dna	DEPENDENT	-	-	-
YDR085C	YDR085C_mRNA	YDR085C	NP_010370.1	RefSeq_peptide	DEPENDENT	-	-	-
YDR085C	YDR085C_mRNA	YDR085C	NM_001180393.1	RefSeq_dna	DEPENDENT	-	-	-
YDL097C	YDL097C_mRNA	YDL097C	NP_010186.1	RefSeq_peptide	DEPENDENT	-	-	-
YDL097C	YDL097C_mRNA	YDL097C	NM_001180156.1	RefSeq_dna	DEPENDENT	-	-	-
YDL139C	YDL139C_mRNA	YDL139C	NP_010142.2	RefSeq_peptide	DEPENDENT	-	-	-
YDL139C	YDL139C_mRNA	YDL139C	NM_001180199.1	RefSeq_dna	DEPENDENT	-	-	-
YDR200C	YDR200C_mRNA	YDR200C	NP_010486.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR200C	YDR200C_mRNA	YDR200C	NM_001180508.3	RefSeq_dna	DEPENDENT	-	-	-
YDR191W	YDR191W_mRNA	YDR191W	NP_010477.3	RefSeq_peptide	DEPENDENT	-	-	-
YDR191W	YDR191W_mRNA	YDR191W	NM_001180499.3	RefSeq_dna	DEPENDENT	-	-	-
YDR451C	YDR451C_mRNA	YDR451C	NP_010739.3	RefSeq_peptide	DEPENDENT	-	-	-
